file,x0,y0,x1,y1,pixels,width,height
testpilot_dark_icons_001.png,890,74,981,184,9047,97,116
testpilot_dark_icons_002.png,460,76,567,190,9518,113,120
testpilot_dark_icons_003.png,1030,77,1126,184,9948,102,113
testpilot_dark_icons_004.png,321,78,423,181,8811,108,109
testpilot_dark_icons_005.png,32,79,137,178,7602,111,105
testpilot_dark_icons_006.png,596,80,710,192,9052,120,118
testpilot_dark_icons_007.png,745,81,846,184,6318,107,109
testpilot_dark_icons_008.png,1318,81,1421,184,7873,109,109
testpilot_dark_icons_009.png,1170,83,1263,181,6694,99,104
testpilot_dark_icons_010.png,179,88,279,177,7713,106,95
testpilot_dark_icons_011.png,461,212,555,323,9562,100,117
testpilot_dark_icons_012.png,35,217,127,322,8866,98,111
testpilot_dark_icons_013.png,885,217,988,318,7890,109,107
testpilot_dark_icons_014.png,174,218,279,323,9052,111,111
testpilot_dark_icons_015.png,604,218,699,323,9592,101,111
testpilot_dark_icons_016.png,745,220,838,323,7265,99,109
testpilot_dark_icons_017.png,321,221,417,317,8783,102,102
testpilot_dark_icons_018.png,1168,222,1270,326,6388,108,110
testpilot_dark_icons_019.png,1032,225,1125,316,5956,99,97
testpilot_dark_icons_020.png,1324,225,1413,317,4694,95,98
testpilot_dark_icons_021.png,324,355,413,459,7145,95,110
testpilot_dark_icons_022.png,458,359,558,461,7942,106,108
testpilot_dark_icons_023.png,741,359,842,461,8075,107,108
testpilot_dark_icons_024.png,177,361,273,458,4560,102,103
testpilot_dark_icons_025.png,601,362,699,460,7044,104,104
testpilot_dark_icons_026.png,1032,362,1130,459,7352,104,103
testpilot_dark_icons_027.png,1175,362,1272,460,7487,103,104
testpilot_dark_icons_028.png,36,363,129,456,8133,99,99
testpilot_dark_icons_029.png,885,364,986,456,6314,107,98
testpilot_dark_icons_030.png,1353,377,1380,446,1568,33,75
testpilot_dark_icons_031.png,321,488,414,597,9375,99,115
testpilot_dark_icons_032.png,460,488,553,596,9387,99,114
testpilot_dark_icons_033.png,600,488,693,597,9412,99,115
testpilot_dark_icons_034.png,742,488,835,596,9301,99,114
testpilot_dark_icons_035.png,175,495,273,592,5573,104,103
testpilot_dark_icons_036.png,1029,495,1132,592,9595,109,103
testpilot_dark_icons_037.png,1176,496,1271,589,8299,101,99
testpilot_dark_icons_038.png,884,497,988,592,9529,110,101
testpilot_dark_icons_039.png,33,498,138,586,8075,111,94
testpilot_dark_icons_040.png,1313,499,1422,582,8696,115,89
testpilot_dark_icons_041.png,31,623,137,728,8743,112,111
testpilot_dark_icons_042.png,886,623,980,731,9128,100,114
testpilot_dark_icons_043.png,1312,627,1416,732,6816,110,111
testpilot_dark_icons_044.png,171,628,273,725,6507,108,103
testpilot_dark_icons_045.png,460,628,553,724,6712,99,102
testpilot_dark_icons_046.png,1024,628,1128,733,6809,110,111
testpilot_dark_icons_047.png,1167,628,1271,732,6812,110,110
testpilot_dark_icons_048.png,743,629,837,728,6632,100,105
testpilot_dark_icons_049.png,598,633,705,727,6778,113,100
testpilot_dark_icons_050.png,315,639,421,720,8290,112,87
testpilot_dark_icons_051.png,323,768,413,856,6137,96,94
testpilot_dark_icons_052.png,462,768,549,856,6074,93,94
testpilot_dark_icons_053.png,1331,768,1401,856,3328,76,94
testpilot_dark_icons_054.png,608,769,693,855,6935,91,92
testpilot_dark_icons_055.png,749,769,834,855,6855,91,92
testpilot_dark_icons_056.png,1187,769,1259,855,3363,78,92
testpilot_dark_icons_057.png,169,773,287,850,7821,124,83
testpilot_dark_icons_058.png,26,774,148,850,8057,128,82
testpilot_dark_icons_059.png,893,777,975,850,3284,88,79
testpilot_dark_icons_060.png,1035,777,1121,850,3418,92,79
testpilot_dark_icons_061.png,743,897,840,992,5595,103,101
testpilot_dark_icons_062.png,597,899,694,992,5481,103,99
testpilot_dark_icons_063.png,892,899,979,992,6574,93,99
testpilot_dark_icons_064.png,1035,899,1130,998,5446,101,105
testpilot_dark_icons_065.png,185,905,271,983,4695,92,84
testpilot_dark_icons_066.png,34,906,120,984,4686,92,84
testpilot_dark_icons_067.png,1177,906,1266,991,5080,95,91
testpilot_dark_icons_068.png,1326,906,1414,992,5439,94,92
testpilot_dark_icons_069.png,324,916,413,972,2772,95,62
testpilot_dark_icons_070.png,464,922,554,978,2797,96,62
